                leaf          error rate             true nn           subdomain
               0.015              0.4904              0.4304             781.254
                0.03              0.4824              0.5176              1562.5
               0.045              0.4707              0.5838                3125
                0.06              0.4707              0.5838                3125
               0.075              0.4599              0.6771                6250
                0.09              0.4599              0.6771                6250
               0.105              0.4599              0.6771                6250
                0.12              0.4599              0.6771                6250
               0.135              0.4512              0.7343               12500
                0.15              0.4512              0.7343               12500
