                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0497              0.4918             502.163             1.94987
               0.015                 0.1              0.0454              0.5373             604.156              4.3008
                0.03                0.05              0.0441              0.6091             1660.63             1.61067
                0.03                 0.1              0.0396              0.6401             1679.28             2.98667
               0.045                0.05              0.0441              0.6091             1660.63             1.61067
               0.045                 0.1              0.0396              0.6401             1679.28             2.98667
                0.06                0.05              0.0393              0.6753             3019.63             1.46427
                0.06                 0.1              0.0379              0.6885             2799.28             2.48853
               0.075                0.05              0.0393              0.6753             3019.63             1.46427
               0.075                 0.1              0.0379              0.6885             2799.28             2.48853
                0.09                0.05              0.0393              0.6753             3019.63             1.46427
                0.09                 0.1               0.037              0.7376             4665.53              2.0736
               0.105                0.05              0.0373              0.7439             5490.26             1.33107
               0.105                 0.1               0.037              0.7376             4665.53              2.0736
                0.12                0.05              0.0373              0.7439             5490.26             1.33107
                0.12                 0.1               0.037              0.7376             4665.53              2.0736
               0.135                0.05              0.0373              0.7439             5490.26             1.33107
               0.135                 0.1              0.0351              0.7869                7776               1.728
                0.15                0.05              0.0373              0.7439             5490.26             1.33107
                0.15                 0.1              0.0351              0.7869                7776               1.728
