                leaf               alpha          error rate             true nn           subdomain    number of leaves
               0.015                0.05              0.0342              0.7546             10526.1             22.4513
               0.015                 0.1              0.0327              0.8383             13522.5             28.8428
                0.03                0.05              0.0336              0.7985             13406.9             14.2991
                0.03                 0.1              0.0325              0.8667             16325.1             17.4117
               0.045                0.05              0.0326              0.8462             16978.7              9.0553
               0.045                 0.1              0.0322              0.9003             19965.4             10.6482
                0.06                0.05              0.0326              0.8462             16978.7              9.0553
                0.06                 0.1              0.0322              0.9003             19965.4             10.6482
               0.075                0.05               0.033              0.8886             21079.1              5.6211
               0.075                 0.1              0.0326              0.9282             24085.1              6.4227
                0.09                0.05               0.033              0.8886             21079.1              5.6211
                0.09                 0.1              0.0326              0.9282             24085.1              6.4227
               0.105                0.05               0.033              0.8886             21079.1              5.6211
               0.105                 0.1              0.0326              0.9282             24085.1              6.4227
                0.12                0.05               0.033              0.8886             21079.1              5.6211
                0.12                 0.1              0.0326              0.9282             24085.1              6.4227
               0.135                0.05              0.0332              0.9166             26962.5               3.595
               0.135                 0.1              0.0333              0.9467               29862              3.9816
                0.15                0.05              0.0332              0.9166             26962.5               3.595
                0.15                 0.1              0.0333              0.9467               29862              3.9816
