                leaf          error rate             true nn           subdomain
               0.015              0.0837              0.0737             936.913
                0.03              0.0674              0.1078             1874.35
               0.045              0.0562              0.1732                3750
                0.06              0.0562              0.1732                3750
               0.075              0.0495              0.2371                7500
                0.09              0.0495              0.2371                7500
               0.105              0.0495              0.2371                7500
                0.12              0.0495              0.2371                7500
               0.135              0.0451              0.3373               15000
                0.15              0.0451              0.3373               15000
