                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05              0.5023              0.3937             418.377
                0.03                0.05              0.4727              0.5417             1383.46
               0.045                0.05              0.4727              0.5417             1383.46
                0.06                0.05              0.4636              0.6228             2515.85
               0.075                0.05              0.4636              0.6228             2515.85
                0.09                0.05              0.4636              0.6228             2515.85
               0.105                0.05              0.4522              0.7069             4574.73
                0.12                0.05              0.4522              0.7069             4574.73
               0.135                0.05              0.4522              0.7069             4574.73
                0.15                0.05              0.4522              0.7069             4574.73
               0.015                 0.1              0.4856              0.4827             503.284
                0.03                 0.1              0.4654              0.6147             1399.28
               0.045                 0.1              0.4654              0.6147             1399.28
                0.06                 0.1               0.454              0.6832             2332.54
               0.075                 0.1               0.454              0.6832             2332.54
                0.09                 0.1              0.4502              0.7504                3888
               0.105                 0.1              0.4502              0.7504                3888
                0.12                 0.1              0.4502              0.7504                3888
               0.135                 0.1              0.4443              0.8094                6480
                0.15                 0.1              0.4443              0.8094                6480
