                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05              0.5023              0.3937             418.377
               0.015                0.07              0.4925              0.4518             556.475
               0.015                 0.1              0.4856              0.4827             503.284
               0.015                0.12              0.4803              0.5396             676.151
               0.015                0.15              0.4698              0.5798             672.472
               0.015                0.17              0.4713              0.5894              609.93
                0.03                0.05              0.4727              0.5417             1383.46
                0.03                0.07              0.4789              0.5224             976.934
                0.03                 0.1              0.4654              0.6147             1399.28
                0.03                0.12              0.4732              0.5989             1091.14
                0.03                0.15              0.4671              0.6338             1034.93
                0.03                0.17              0.4593              0.6875             1359.75
               0.045                0.05              0.4727              0.5417             1383.46
               0.045                0.07              0.4648              0.5981             1714.38
               0.045                 0.1              0.4654              0.6147             1399.28
               0.045                0.12              0.4617              0.6654             1760.23
               0.045                0.15              0.4597              0.6872             1592.87
               0.045                0.17               0.454              0.7359             2029.75
                0.06                0.05              0.4636              0.6228             2515.85
                0.06                0.07              0.4648              0.5981             1714.38
                0.06                 0.1               0.454              0.6832             2332.54
                0.06                0.12               0.452              0.7298             2839.42
                0.06                0.15              0.4523               0.741             2450.75
                0.06                0.17               0.454              0.7359             2029.75
               0.075                0.05              0.4636              0.6228             2515.85
               0.075                0.07              0.4575               0.674             3007.85
               0.075                 0.1               0.454              0.6832             2332.54
               0.075                0.12               0.452              0.7298             2839.42
               0.075                0.15              0.4523               0.741             2450.75
               0.075                0.17              0.4464              0.7857             3029.75
                0.09                0.05              0.4636              0.6228             2515.85
                0.09                0.07              0.4575               0.674             3007.85
                0.09                 0.1              0.4502              0.7504                3888
                0.09                0.12               0.452              0.7298             2839.42
                0.09                0.15              0.4472              0.7902             3770.51
                0.09                0.17              0.4464              0.7857             3029.75
               0.105                0.05              0.4522              0.7069             4574.73
               0.105                0.07              0.4575               0.674             3007.85
               0.105                 0.1              0.4502              0.7504                3888
               0.105                0.12              0.4465              0.7866             4580.06
               0.105                0.15              0.4472              0.7902             3770.51
               0.105                0.17              0.4435              0.8274             4522.52
                0.12                0.05              0.4522              0.7069             4574.73
                0.12                0.07              0.4475              0.7495             5277.72
                0.12                 0.1              0.4502              0.7504                3888
                0.12                0.12              0.4465              0.7866             4580.06
                0.12                0.15              0.4419              0.8388                5801
                0.12                0.17              0.4435              0.8274             4522.52
               0.135                0.05              0.4522              0.7069             4574.73
               0.135                0.07              0.4475              0.7495             5277.72
               0.135                 0.1              0.4443              0.8094                6480
               0.135                0.12              0.4465              0.7866             4580.06
               0.135                0.15              0.4419              0.8388                5801
               0.135                0.17              0.4435              0.8274             4522.52
                0.15                0.05              0.4522              0.7069             4574.73
                0.15                0.07              0.4475              0.7495             5277.72
                0.15                 0.1              0.4443              0.8094                6480
                0.15                0.12               0.441              0.8395             7387.53
                0.15                0.15              0.4419              0.8388                5801
                0.15                0.17               0.438              0.8682                6750
