                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05                0.49              0.4631             747.003
                0.03                0.05              0.4765              0.5438             1366.06
               0.045                0.05              0.4692              0.6345             2497.95
                0.06                0.05              0.4692              0.6345             2497.95
               0.075                0.05              0.4591              0.7153              4567.5
                0.09                0.05              0.4591              0.7153              4567.5
               0.105                0.05              0.4591              0.7153              4567.5
                0.12                0.05              0.4591              0.7153              4567.5
               0.135                0.05              0.4468              0.7996                8325
                0.15                0.05              0.4468              0.7996                8325
               0.015                 0.1              0.4644              0.6085             1348.26
                0.03                 0.1               0.457              0.6808             2263.19
               0.045                 0.1              0.4517               0.759             3818.55
                0.06                 0.1              0.4517               0.759             3818.55
               0.075                 0.1              0.4441              0.8218             6471.25
                0.09                 0.1              0.4441              0.8218             6471.25
               0.105                 0.1              0.4441              0.8218             6471.25
                0.12                 0.1              0.4441              0.8218             6471.25
               0.135                 0.1              0.4359               0.882             10803.8
                0.15                 0.1              0.4359               0.882             10803.8
